stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
2409,2409,"NB Cityscape DR@ Cityscape MR NE",,  51.150786,-113.966137,,,0
2410,2410,"NB Cityscape GA @ Cityscape DR",,  51.152812,-113.958168,,,0
2411,2411,"WB Cityscape DR @ Cityscape HE NE",,  51.152438,-113.962781,,,0
2412,2412,"WB 104 AV NE @ Metis TR",,  51.147309,-113.971311,,,0
2413,2413,"WB 104 AV NE @ 36 ST NE",,  51.147203,-113.978760,,,0
2414,2414,"EB 104 AV NE @ 36 ST NE",,  51.146903,-113.980377,,,0
2415,2415,"EB 104 AV NE @ Metis TR",,  51.147094,-113.973102,,,0
2416,2416,"WB 72 AV NE @ 10 ST NE",,  51.117887,-114.040733,,,0
2417,2417,"EB 72 AV NE @ 8 ST NE",,  51.117711,-114.044381,,,0
2418,2418,"WB 130 AV @ 50 ST SE",,  50.932104,-113.962962,,,0
2419,2419,"WB Cityscape Dr @ Cityscape Ga NE",,  51.152416,-113.958812,,,0
2420,2420,"YYC Airport International Terminal",,  51.130855,-114.006525,,,0
2421,2421,"SB Cityscape Dr @ Cityscape Mr NE",,  51.150354,-113.966465,,,0
2423,2423,"SB 19 ST SE @ Century RI",,  51.048493,-114.008492,,,0
2424,2424,"NB 52 ST SE @ 130 AV SE NB",,  50.932424,-113.957851,,,0
2425,2425,"NB Macleod TR @ S. of 61 AV SW",,  50.996630,-114.071316,,,0
2426,2426,"EB 61 AV SW @ 3 ST SW",,  50.997581,-114.068982,,,0
