route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
118-20589,118,"Hidden Valley",,3,,,
119-20573,119,"Freeport",,3,,,
119-20589,119,"Freeport",,3,,,
120-20573,120,"North Silver Springs",,3,,,
120-20589,120,"North Silver Springs",,3,,,
123-20573,123,"Sage Hill / North Pointe",,3,,,
123-20589,123,"Sage Hill / North Pointe",,3,,,
124-20573,124,"Evanston",,3,,,
124-20589,124,"Evanston",,3,,,
125-20573,125,"Cedarbrae",,3,,,
125-20589,125,"Cedarbrae",,3,,,
126-20573,126,"Braeside",,3,,,
126-20589,126,"Braeside",,3,,,
127-20573,127,"Maryvale/ Franklin Industrial",,3,,,
127-20589,127,"Maryvale/ Franklin Industrial",,3,,,
128-20573,128,"Cornerstone/ Redstone",,3,,,
128-20589,128,"Cornerstone/ Redstone",,3,,,
129-20573,129,"Dalhousie - Sage Hill",,3,,,
129-20589,129,"Dalhousie - Sage Hill",,3,,,
133-20573,133,"Cranston Express",,3,,,
133-20589,133,"Cranston Express",,3,,,
134-20573,134,"South Silver Springs",,3,,,
134-20589,134,"South Silver Springs",,3,,,
135-20573,135,"36 Street SE / Erin Woods",,3,,,
135-20589,135,"36 Street SE / Erin Woods",,3,,,
138-20573,138,"Citadel",,3,,,
138-20589,138,"Citadel",,3,,,
142-20573,142,"Panorama Express",,3,,,
142-20589,142,"Panorama Express",,3,,,
145-20573,145,"Skyview Ranch/ Redstone",,3,,,
145-20589,145,"Skyview Ranch/ Redstone",,3,,,
146-20573,146,"Beddington",,3,,,
146-20589,146,"Beddington",,3,,,
147-20573,147,"Starfield",,3,,,
147-20589,147,"Starfield",,3,,,
148-20573,148,"Great Plains",,3,,,
148-20589,148,"Great Plains",,3,,,
149-20573,149,"Point Trotter",,3,,,
149-20589,149,"Point Trotter",,3,,,
150-20573,150,"114 Avenue SE",,3,,,
150-20589,150,"114 Avenue SE",,3,,,
151-20573,151,"New Brighton Express",,3,,,
151-20589,151,"New Brighton Express",,3,,,
152-20573,152,"New Brighton",,3,,,
152-20589,152,"New Brighton",,3,,,
153-20573,153,"Copperfield",,3,,,
153-20589,153,"Copperfield",,3,,,
154-20573,154,"Hamptons",,3,,,
154-20589,154,"Hamptons",,3,,,
155-20573,155,"West Dover / Forest Lawn",,3,,,
155-20589,155,"West Dover / Forest Lawn",,3,,,
156-20573,156,"Aspen Woods",,3,,,
156-20589,156,"Aspen Woods",,3,,,
157-20573,157,"Saddletowne-Stoney Industrial",,3,,,
157-20589,157,"Saddletowne-Stoney Industrial",,3,,,
158-20573,158,"Royal Oak",,3,,,
158-20589,158,"Royal Oak",,3,,,
159-20573,159,"Saddlebrook",,3,,,
159-20589,159,"Saddlebrook",,3,,,
161-20573,161,"North Pointe - Stoney Industrial",,3,,,
161-20589,161,"North Pointe - Stoney Industrial",,3,,,
164-20573,164,"Aspen Woods",,3,,,
164-20589,164,"Aspen Woods",,3,,,
167-20573,167,"Walden - Legacy CCW",,3,,,
167-20589,167,"Walden - Legacy CCW",,3,,,
168-20573,168,"Walden - Legacy CW",,3,,,
168-20589,168,"Walden - Legacy CW",,3,,,
169-20573,169,"Rocky Ridge",,3,,,
169-20589,169,"Rocky Ridge",,3,,,
174-20573,174,"Tuscany",,3,,,
174-20589,174,"Tuscany",,3,,,
178-20573,178,"Sundance/Chaparral",,3,,,
178-20589,178,"Sundance/Chaparral",,3,,,
201-20573,201,"Red Line - Somerset - Bridlewood / Tuscany CTrain",,0,,,
202-20573,202,"Blue Line - Saddletowne / 69 Street CTrain",,0,,,
299-20573,299,"Arbour Lake",,3,,,
299-20589,299,"Arbour Lake",,3,,,
300-20573,300,"BRT Airport / City Centre",,3,,,
