route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
743-20573,743,"Crescent Heights/ Whitehorn Stn",,3,,,
744-20571,744,"Crescent Heights/Coventry- South",,3,,,
744-20573,744,"Crescent Heights/Coventry- South",,3,,,
745-20571,745,"Crescent Heights/Vista Heights",,3,,,
745-20573,745,"Crescent Heights/Vista Heights",,3,,,
746-20571,746,"Crescent Heights/ Coventry Hills",,3,,,
746-20573,746,"Crescent Heights/ Coventry Hills",,3,,,
747-20571,747,"Crescent Heights/Hidden Valley",,3,,,
747-20573,747,"Crescent Heights/Hidden Valley",,3,,,
748-20571,748,"Crescent Heights/ Hidden Ranch",,3,,,
748-20573,748,"Crescent Heights/ Hidden Ranch",,3,,,
750-20571,750,"Nelson Mandela/ Coral Springs",,3,,,
750-20573,750,"Nelson Mandela/ Coral Springs",,3,,,
752-20571,752,"Fowler/SageHill/Kincora",,3,,,
752-20573,752,"Fowler/SageHill/Kincora",,3,,,
753-20571,753,"Fowler/Evanston/Kincora",,3,,,
753-20573,753,"Fowler/Evanston/Kincora",,3,,,
754-20571,754,"Joane Cardinal-Schubert/Copperpond",,3,,,
754-20573,754,"Joane Cardinal-Schubert/Copperpond",,3,,,
755-20571,755,"Joane Cardinal-Schubert/Douglasglen",,3,,,
755-20573,755,"Joane Cardinal-Schubert/Douglasglen",,3,,,
756-20571,756,"Joane Cardinal-Schubert/ New Brighton",,3,,,
756-20573,756,"Joane Cardinal-Schubert/ New Brighton",,3,,,
757-20571,757,"Joane Cardinal-Schubert/McKenzie Lake",,3,,,
757-20573,757,"Joane Cardinal-Schubert/McKenzie Lake",,3,,,
758-20571,758,"Joane Cardinal-Schubert/Douglasdale",,3,,,
758-20573,758,"Joane Cardinal-Schubert/Douglasdale",,3,,,
759-20571,759,"Joane Cardinal-Schubert/McKenzie Towne",,3,,,
759-20573,759,"Joane Cardinal-Schubert/McKenzie Towne",,3,,,
760-20571,760,"Scarlett / West Bonavista",,3,,,
760-20573,760,"Scarlett / West Bonavista",,3,,,
762-20571,762,"Scarlett/Bonavista",,3,,,
762-20573,762,"Scarlett/Bonavista",,3,,,
763-20571,763,"Scarlett/Woodbine",,3,,,
763-20573,763,"Scarlett/Woodbine",,3,,,
764-20571,764,"Scarlett/James McKevitt Rd",,3,,,
764-20573,764,"Scarlett/James McKevitt Rd",,3,,,
765-20571,765,"Scarlett/Silverado",,3,,,
